ID_NODE;IDX_NODE;NODE_TYPE;COOR_X;COOR_Y;INVERT_ELEV;MAX_DEPTH
J1;           0;           0;      418410.12;     4577667.87;          44.69;           1.60
J2;           1;           0;      418454.72;     4577675.18;          43.53;           1.62
J3;           2;           0;      418496.65;     4577681.76;          42.52;           2.00
J4;           3;           0;      418545.89;     4577690.29;          41.11;           1.60
J5;           4;           0;      418593.90;     4577697.61;          39.71;           2.00
J6;           5;           0;      418645.58;     4577706.38;          37.92;           1.60
J7;           6;           0;      418696.28;     4577714.91;          36.50;           1.65
J8;           7;           0;      418706.27;     4577657.87;          33.13;           1.66
J9;           8;           0;      418602.19;     4577642.27;          36.45;           2.00
J10;           9;           0;      418502.50;     4577646.91;          39.95;           1.58
J11;          10;           0;      418515.66;     4577567.20;          37.49;           1.50
J12;          11;           0;      418612.43;     4577583.77;          33.13;           1.63
J13;          12;           0;      418665.32;     4577592.79;          31.48;           1.65
J14;          13;           0;      418434.25;     4577632.52;          42.27;           1.40
J15;          14;           0;      418393.79;     4577692.97;          45.70;           2.00
J16;          15;           0;      418464.72;     4577593.52;          39.29;           1.35
J17;          16;           0;      418495.67;     4577564.27;          38.16;           2.02
J18;          17;           0;      418487.14;     4577736.85;          42.77;           2.00
J19;          18;           0;      418585.37;     4577755.62;          39.91;           1.50
J20;          19;           0;      418361.12;     4577747.33;          44.80;           1.50
J21;          20;           0;      418384.28;     4577751.47;          44.87;           2.00
J22;          21;           0;      418434.49;     4577759.76;          43.53;           1.65
J23;          22;           0;      418481.78;     4577767.07;          42.33;           1.65
J24;          23;           0;      418532.97;     4577776.09;          41.10;           2.00
J25;          24;           0;      418580.99;     4577784.38;          39.87;           2.00
J26;          25;           0;      418630.71;     4577793.40;          38.56;           1.71
J27;          26;           0;      418681.41;     4577802.17;          37.31;           1.70
J28;          27;           0;      418686.04;     4577774.39;          37.10;           1.55
J29;          28;           0;      418374.77;     4577805.59;          42.39;           1.72
J30;          29;           0;      418365.02;     4577858.97;          38.18;           1.60
J31;          30;           0;      418472.27;     4577822.41;          40.36;           1.83
J32;          31;           0;      418424.50;     4577814.12;          41.48;           1.70
J33;          32;           0;      418463.99;     4577875.30;          37.62;           1.65
J34;          33;           0;      418413.04;     4577867.26;          37.95;           1.61
J35;          34;           0;      418334.31;     4577796.57;          42.04;           1.60
J36;          35;           0;      418320.17;     4577851.66;          38.41;           1.61
J37;          36;           0;      418308.47;     4577923.56;          38.12;           1.95
J38;          37;           0;      418358.65;     4577894.09;          34.32;           1.70
J39;          38;           0;      418349.18;     4577956.47;          36.28;           1.80
J40;          39;           0;      418393.54;     4577991.08;          34.62;           1.75
J41;          40;           0;      418439.37;     4578023.01;          32.94;           1.90
J42;          41;           0;      418458.34;     4577907.65;          35.81;           1.50
J43;          42;           0;      418447.41;     4577975.24;          33.06;           1.75
J44;          43;           0;      418513.42;     4577878.22;          37.29;           1.60
J45;          44;           0;      418564.65;     4577881.39;          37.02;           2.00
J46;          45;           0;      418614.62;     4577885.78;          35.76;           1.75
J47;          46;           0;      418666.05;     4577889.44;          34.26;           1.90
J48;          47;           0;      418551.98;     4577959.64;          32.18;           1.72
J49;          48;           0;      418651.19;     4577975.48;          31.24;           1.95
J50;          49;           0;      418658.50;     4577934.53;          32.55;           1.85
J51;          50;           0;      418542.47;     4578014.72;          31.23;           1.76
J52;          51;           0;      418579.52;     4578082.49;          29.28;           2.01
J53;          52;           0;      418631.44;     4578092.24;          28.92;           2.25
J54;          53;           0;      418641.44;     4578033.74;          29.59;           1.90
J55;          54;           0;      418482.51;     4578048.36;          31.59;           2.00
J56;          55;           0;      418572.94;     4577833.13;          38.45;           1.72
J57;          56;           0;      418673.85;     4577845.81;          35.73;           1.68
J58;          57;           0;      418604.14;     4577968.17;          31.58;           1.75
J59;          58;           0;      418558.07;     4577921.49;          34.40;           1.60
J60;          59;           0;      418717.97;     4577602.21;          29.86;           3.55
J61;          60;           0;      418716.46;     4577600.00;          29.98;           3.55
J62;          61;           0;      418715.72;     4577603.55;          30.00;           3.45
J63;          62;           0;      418714.08;     4577601.46;          30.06;           3.45
J64;          63;           0;      418493.47;     4577561.13;          38.18;           1.45
J65;          64;           0;      418438.58;     4578027.70;          32.94;           1.90
J66;          65;           0;      418565.14;     4577575.73;          33.51;           1.60
O1;          66;           1;      418670.69;     4578106.62;          27.83;           0.40
O2;          67;           1;      418723.94;     4577570.23;          25.68;           0.40
O3;          68;           1;      418490.77;     4577557.42;          34.00;           1.00
O4;          69;           1;      418440.06;     4578032.67;          30.00;           1.00
S1;          71;           2;      418716.02;     4577601.81;          26.47;           3.50
D1;          70;           3;      418532.97;     4578069.81;          28.00;           0.40
