time(s);Area(m2);RunoffDepth(mm);RainDepth(mm);RainRate(mm/h);InfiltrationDepth(mm);InfiltrationRate(mm/h);GroundwaterVol(m3);GroundwaterSatDepth(mm);SoilSaturation(-);ET_Depth(mm);ET_Rate(mm/h);PercolationDepth(mm);PercolationRate(mm/h);ExfiltrationRate(mm/h) ;ExfiltrationDepth(mm)
 0.0000000000E+000; 0.3155491335E+006; 0.1000000000E-016; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000
 0.3005000000E+003; 0.3155491335E+006; 0.5422002956E-004; 0.1514416667E+000; 0.1208000000E+002; 0.1102574554E+000; 0.8148005393E+001; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000
 0.6002447214E+003; 0.3155491335E+006; 0.4861320640E-002; 0.1159411424E+001; 0.2252000000E+002; 0.8060703315E+000; 0.1389635435E+002; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000
 0.9005000000E+003; 0.3155491335E+006; 0.9348233306E-001; 0.3037877778E+001; 0.2325000000E+002; 0.2119274804E+001; 0.1681229932E+002; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000
 0.1200500000E+004; 0.3155491335E+006; 0.3402885368E+000; 0.4975802778E+001; 0.2478000000E+002; 0.3496314975E+001; 0.1721519613E+002; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000
 0.1500500000E+004; 0.3155491335E+006; 0.6277037672E+000; 0.7040948478E+001; 0.2552000000E+002; 0.4953737379E+001; 0.1828344747E+002; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000
 0.1800062178E+004; 0.3155491335E+006; 0.9330805171E+000; 0.9164750675E+001; 0.2658000000E+002; 0.6448891635E+001; 0.1922322202E+002; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000
 0.2100500000E+004; 0.3155491335E+006; 0.1252202729E+001; 0.1138117776E+002; 0.1384000000E+002; 0.8004811221E+001; 0.1009657883E+002; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000
 0.2400500000E+004; 0.3155491335E+006; 0.1539470644E+001; 0.1253433867E+002; 0.1283000000E+002; 0.8832559338E+001; 0.8983598672E+001; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000
 0.2700480628E+004; 0.3155491335E+006; 0.1770121825E+001; 0.1360333542E+002; 0.1228000000E+002; 0.9571391949E+001; 0.8734726128E+001; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000
 0.3000371036E+004; 0.3155491335E+006; 0.1972181499E+001; 0.1462623161E+002; 0.1192000000E+002; 0.1027904161E+002; 0.8138095493E+001; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000
 0.3300342531E+004; 0.3155491335E+006; 0.2174310868E+001; 0.1561771554E+002; 0.1660000000E+001; 0.1095570895E+002; 0.1200504170E+001; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000
 0.3600246540E+004; 0.3155491335E+006; 0.2337420134E+001; 0.1575600461E+002; 0.1660000000E+001; 0.1105694073E+002; 0.1181895696E+001; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000
 0.3900144713E+004; 0.3155491335E+006; 0.2439928006E+001; 0.1589429099E+002; 0.1660000000E+001; 0.1115565773E+002; 0.1160138365E+001; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000
 0.4200177411E+004; 0.3155491335E+006; 0.2521808341E+001; 0.1603263940E+002; 0.1660000000E+001; 0.1125145933E+002; 0.1145413298E+001; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000
 0.4500208949E+004; 0.3155491335E+006; 0.2596280164E+001; 0.1617098728E+002; 0.1660000000E+001; 0.1134637642E+002; 0.1136368322E+001; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000
 0.4800167998E+004; 0.3155491335E+006; 0.2667387508E+001; 0.1630930173E+002; 0.1660000000E+001; 0.1144140539E+002; 0.1133524040E+001; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000
 0.5100153727E+004; 0.3155491335E+006; 0.2733995350E+001; 0.1644762848E+002; 0.1660000000E+001; 0.1153966059E+002; 0.1131765417E+001; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000
 0.5400076245E+004; 0.3155491335E+006; 0.2804232735E+001; 0.1658592609E+002; 0.1660000000E+001; 0.1163369675E+002; 0.1128166742E+001; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000
 0.5700073788E+004; 0.3155491335E+006; 0.2873257123E+001; 0.1672425829E+002; 0.1660000000E+001; 0.1172879824E+002; 0.1127316203E+001; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000
 0.6000107749E+004; 0.3155491335E+006; 0.2942044644E+001; 0.1686260728E+002; 0.1660000000E+001; 0.1182408568E+002; 0.1126774397E+001; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000
 0.6300119730E+004; 0.3155491335E+006; 0.3012170053E+001; 0.1700094614E+002; 0.1660000000E+001; 0.1191797091E+002; 0.1126192200E+001; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000
 0.6600112635E+004; 0.3155491335E+006; 0.3081166056E+001; 0.1713927620E+002; 0.1660000000E+001; 0.1201294659E+002; 0.1125303990E+001; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000
 0.6900099265E+004; 0.3155491335E+006; 0.3151216246E+001; 0.1727760337E+002; 0.1660000000E+001; 0.1210685034E+002; 0.1178254754E+001; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000
 0.7200014673E+004; 0.3155491335E+006; 0.3218322275E+001; 0.1741589770E+002; 0.1660000000E+001; 0.1220158134E+002; 0.1125070071E+001; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000
 0.7500045141E+004; 0.3155491335E+006; 0.3245457776E+001; 0.1755424508E+002; 0.1660000000E+001; 0.1229562241E+002; 0.1124986310E+001; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000
 0.7800046392E+004; 0.3155491335E+006; 0.3272917275E+001; 0.1769257899E+002; 0.1660000000E+001; 0.1238932564E+002; 0.1128199184E+001; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000
 0.8100434154E+004; 0.3155491335E+006; 0.3300348638E+001; 0.1783109112E+002; 0.1660000000E+001; 0.1248321164E+002; 0.1125047402E+001; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000
 0.8400081323E+004; 0.3155491335E+006; 0.3326875538E+001; 0.1796926176E+002; 0.1660000000E+001; 0.1257770394E+002; 0.1124906037E+001; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000
 0.8700034959E+004; 0.3155491335E+006; 0.3354277788E+001; 0.1810757372E+002; 0.1660000000E+001; 0.1267144366E+002; 0.1124866620E+001; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000
 0.9000503802E+004; 0.3155491335E+006; 0.3413305701E+001; 0.1824612324E+002; 0.1660000000E+001; 0.1276556355E+002; 0.1124369205E+001; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000
